name	GARDEN	COLONISATION	M61T49	M85T40	M95T697	M99T40	M101T40	M104T45	M105T811	M109T806	M109T697	M109T822	M117T40	M127T51	M149T983	M149T262	M167T262	M181T564	M191T870	M197T437	M197T406	M209T480	M227T64	M227T513	M233T692	M236T50	M239T266	M247T690	M250T697	M251T735	M253T739	M255T692	M255T757	M265T464	M271T736	M275T933	M277T759	M277T743	M279T998	M279T761	M279T779	M283T305	M283T792	M283T854	M284T713	M284T707	M285T707	M285T713	M287T690	M289T703	M291T734	M293T925	M293T739	M293T721	M295T759	M296T394	M297T777	M298T690	M299T77	M299T90	M299T690	M300T305	M301T746	M301T757	M303T850	M305T467	M305T477	M305T877	M306T713	M306T707	M307T707	M307T713	M308T568	M312T606	M312T619	M313T834	M315T727	M317T759	M317T743	M319T761	M327T334	M331T729	M331T653	M333T838	M333T703	M335T720	M344T334	M353T834	M358T324	M358T305	M359T633	M362T889	M363T889	M366T905	M371T92	M371T100	M371T358	M386T905	M387T905	M389T358	M402T332	M402T349	M413T998	M419T933	M419T921	M420T933	M420T921	M429T996	M430T996	M433T378	M441T933	M441T923	M442T933	M442T923	M446T369	M446T354	M447T983	M447T970	M448T982	M453T837	M453T829	M457T932	M457T923	M469T983	M469T969	M469T996	M470T996	M476T395	M480T879	M511T721	M520T410	M523T847	M523T854	M525T996	M533T881	M533T892	M534T881	M534T892	M540T854	M540T847	M549T895	M549T912	M564T424	M589T995	M590T995	M734T746	M734T727	M734T736	M734T766
FOR_ENC	FOR	NC	186548	294393	16842	48986	20721	97821	7586	31528	10937	4816	18933	2011558	11563	1278	119	31192	6755	36527	5348	63589	1699	49511	3854	15321	284315	80182	27821	18516	10077	1998	24048	1468	2901	6270	32826	334496	19082	78275	33397	372513	29532	21239	0	0	0	0	93088	15948	15077	4119	28327	7587	32561	121	29430	1182	1228	132	0	156312	17215	10508	33158	658	222	153998	0	0	0	0	0	689	0	6304	39874	14724	260982	79599	334572	8269	198738	17189	54855	26092	591200	26975	52640	73120	17780	16075	4692	46662	690	272	208519	91190	21017	186421	77574	68855	10590	41127	33981	11753	11066	55174	11443	184954	23325	17845	6152	4869	67220	54474	32084	18315	10276	345	0	3251	1495	20090	10295	32803	10807	713642	6105	3111	491198	18547	21192	731	1691739	312174	627701	115781	16009	20060	119001	252764	225775	371	164	9369	5956	3574	3793
FRA_ENC	FRA	NC	43242	1026915	16373	179111	113862	678802	346540	452259	10591	125607	75183	926	13741	1107	252	90608	6752	126619	24477	3243	2651	33772	5657	107429	116841	50465	31819	70098	36917	2594	23209	1480	18244	11502	78394	343829	16458	129847	74236	133731	46258	17208	554	0	0	0	63666	55572	62082	4921	85683	23580	70159	158	59336	464	948	351	243	57385	44963	214757	63416	556	220	204660	0	0	0	0	0	3137	2566	17458	74353	86114	334283	117135	108278	11730	14794	10140	135921	69335	211272	154140	11129	20627	9755	18323	4959	43915	472	188	68828	95155	26189	65930	25213	16420	8363	45372	58817	13888	17076	472727	154780	65908	26584	25904	7896	7580	17008	21149	33504	9984	10546	509	193	3926	2881	19821	8200	261034	83769	262585	6783	16599	184424	24483	20858	544	1711457	551779	632207	206583	15080	16172	189883	70526	94227	644	673	18560	4317	12300	1949
GAR_ENC	GAR	NC	78687	363810	16913	59969	25846	165741	9887	32006	10976	10823	23447	17184	13181	1237	0	16862	14510	24984	5259	3524	2027	43218	10953	33191	132253	40319	42420	14055	6631	2128	16130	772	2467	15975	26889	142143	14148	61927	18422	130335	42120	31915	0	0	0	129	53190	8894	17192	5706	21463	13880	28516	81	16518	165	1179	134	53	55359	10867	12556	29279	647	445	131162	0	0	0	154	0	3828	5588	9334	22097	31743	155627	72934	109996	10392	9320	27483	69144	24123	211593	37550	11685	22996	14074	38819	9996	85203	458	233	73909	181252	50506	68112	26576	17003	7573	60704	54231	17600	16162	258954	83390	65209	38630	29827	10846	8861	17042	22160	33010	15660	9999	577	306	5921	4610	22399	10047	157019	50947	259185	18011	23457	180330	49262	46944	8105	224386	73434	82393	26728	33254	32169	19236	2926	85725	56254	21743	24575	15183	9491	7792
JUST_ENC	JUST	NC	409745	1102122	24505	178762	29942	61947	6107	31381	14563	5132	78639	2699	14087	1605	408	27259	3232	20072	3949	7662	2908	31244	2681	7588	135952	2027	57854	10593	7664	2820	14348	19211	3039	4276	16123	12421	9233	40045	20335	140756	16613	9861	0	0	175	355	2168	3887	9695	3156	13928	10658	18143	98	18029	703	1254	322	0	60665	6901	6693	24784	42464	8765	102313	0	0	0	0	189	199013	165586	11554	3937	18595	14300	39839	122134	10256	3335	953	9748	19667	229212	50586	11912	24473	11820	5726	1851	16772	442	227	77871	46732	9298	73873	30484	17446	8225	16792	14118	4952	6716	229264	76252	70272	11207	13638	5084	3435	17436	25646	37052	41067	11951	508	140	2806	1950	26608	13705	140181	45063	282893	1850	29652	202199	4562	2401	835	72031	13335	12526	2842	4881	4334	1858	1119	104889	144963	59040	18503	10961	6964	4669
MID_ENC	MID	NC	966056	2121336	18045	318456	115895	22607	5511	32874	10778	4882	173912	3189	12267	926	90	11854	11863	20245	2382	3334	456	14777	1256	30689	141492	2123	43329	12769	5989	2180	12005	437	2373	13897	11762	7970	15639	32569	19788	145143	15602	10144	0	0	250	76	1292	1092	11809	4846	12132	6377	13145	102	16836	319	247	140	138	61666	11469	8557	20019	567	264	126203	0	0	0	0	39	857	793	10047	1783	14436	7098	40785	114744	9172	2937	4649	4710	16459	219819	58114	11722	26777	7294	6706	1943	21409	99	43	73949	53934	14043	71660	29540	17456	9016	53977	53514	15130	16112	18212	5614	69672	29882	27673	9026	7931	17377	24647	31597	26531	10849	388	85	5067	4218	23173	15153	12308	4206	266995	2878	14518	191732	7739	5151	114	1094	401	773	609	2475	3610	294	428	91395	396	245	74	0	37	94
MOU_ENC	MOU	NC	72179	271016	17196	42587	13403	13141	60285	92249	9958	4408	17423	12861	11695	75316	16345	12765	5846	9186	2273	11667	997	35257	1246	7133	1645550	3749	45565	5381	3862	2206	15192	211	2147	7732	12578	25305	11296	37342	31697	1631420	18030	12241	0	0	114	0	4277	2712	7283	3392	11621	5489	16759	52	27892	1783	416	244	107	1596968	9689	9594	23293	364	157	108241	0	0	0	0	0	390	766	8827	4868	15269	27514	60357	1619955	7916	2722	12478	12197	17403	1663298	54136	1443103	675648	13907	7083	1909	23977	257	56	1598039	57844	16185	1591175	1545276	1577621	6459	30616	34810	8895	10382	7452	2649	1595753	19553	18818	5414	5525	1577808	1571941	26159	13662	4587	0	251	3115	2802	16658	7726	5279	1814	117244	3208	1044	1655881	10837	7305	133	995	730	1120	416	7200	9984	547	385	1612736	0	343	536	338	188	82
PER_ENC	PER	NC	35755	540127	11192	91595	22014	15949	7629	32785	7370	4488	36820	40428	12090	836	0	12710	7821	8569	1736	3195	49275	45794	2105	3955	134397	2327	25724	7933	5410	2128	14792	0	2494	7306	11919	8713	11521	40629	17336	131438	17534	14630	0	0	0	0	1756	2412	7826	2970	10168	6261	14826	72	16369	320	20579	1188	0	55838	9886	9190	21171	544	388	82025	0	0	0	0	0	6438	8855	8852	3748	14549	11324	52382	113564	8092	2672	13936	4327	19016	216712	41244	10715	21265	15281	20043	5614	50441	8341	2507	73674	123679	32970	68825	25466	16332	6456	27420	23735	8193	6376	79993	23916	68349	17119	12146	4719	4007	17555	22065	24773	10208	8028	327	129	2805	2146	16942	7642	55273	14888	271496	10002	17952	188438	30446	23893	103	151755	36022	53717	12839	16977	20759	6974	2965	92722	5881	2462	6532	2662	1576	1300
QUA_ENC	QUA	NC	160226	655495	11001	110060	89833	89839	7656	33325	6910	28757	46008	2344	12559	25426	5398	23016	22503	116758	7736	3703	679	24858	3954	230422	1092619	85278	16933	54387	100799	1855	176570	793	80400	11409	209913	340909	13954	376084	109504	1624812	20529	13437	0	0	0	0	98489	71784	48636	4075	236259	61067	138877	105	129288	247	300	160	0	637610	115615	35509	47451	547	326	142985	0	0	0	0	67	6722	5671	10075	182581	223295	325041	308036	1532668	15605	39525	14021	164520	105915	1756910	48447	254304	261409	9911	12946	3390	35670	73	99	982369	81565	21656	751514	318300	374123	7345	46275	32634	13245	9261	193447	62019	853302	28551	18766	8863	5552	436336	303703	24531	6785	7980	331	263	4562	3024	18216	7542	123327	39617	1805198	6182	84479	1733123	18433	12513	116008	10928	4887	4916	2500	9799	13704	1183	523	1236456	1884	1176	1187	475	306	359
REB_ENC	REB	NC	115813	1124608	15996	181082	60830	15942	6786	30785	10901	4301	83273	3816	14144	2010	131	10891	6889	2495	949	2881	4162	64110	1815	408	135472	2521	42851	11604	5945	1955	21567	211	2347	4481	10052	8019	11261	38885	12352	137058	73149	10411	0	126	199	81	1675	2507	10813	2575	11516	4235	23260	129	11862	365	1825	96	89	57971	8133	8028	16700	561	291	58316	0	0	0	0	0	429	699	12304	3363	13521	11590	53321	121071	8797	2054	6637	3543	23502	231382	102324	11312	22680	19130	13900	3582	34360	904	273	74652	80602	21441	70888	26974	16151	6644	24138	20134	6747	5695	3137	1140	71440	14540	11758	4353	3623	16642	22255	34046	10669	11052	466	169	2801	2157	25325	9291	2509	857	282366	6833	2788	208837	20620	14977	92	576	463	822	700	14490	16384	160	61	104879	796	305	146	79	25	109
RECU_ENC	RECU	NC	1133303	2111404	9134	300056	123753	27588	197288	264674	5825	5577	168436	1505	12288	20925	4755	10567	3069	2646	1459	3192	567	28553	1694	2556	154278	2893	11999	5448	6956	1944	14795	174	2701	7800	11407	11351	26806	53714	12284	157786	15721	7943	0	0	131	144	1520	2151	7963	3052	14296	6825	14248	189	12263	973	233	202	106	66555	16502	10857	15190	378	148	38514	0	0	0	0	0	244	166	9602	3712	11763	14132	67159	130233	9508	2951	3084	5743	24381	247012	51526	12635	23491	21877	2373	957	9917	51	14	80359	17719	5136	75943	27295	18103	15181	30883	24650	8793	4663	1973	870	75704	19351	14417	5927	4113	17853	22802	26654	11058	8736	131	102	3357	1917	16739	8680	1134	538	308080	1380	880	220100	6076	3611	784	86	0	572	622	3725	4615	150	161	115777	80	265	83	177	73	45
SYT_ENC	SYT	NC	105459	1317989	10220	211483	85105	146400	6389	31330	6511	16283	98069	4327	19605	2860	420	114280	15596	394783	67968	14829	17838	35091	2287	9099	109129	5460	13071	48897	10323	2090	16309	265	3115	8230	44463	38335	12789	54847	23880	130585	17885	12799	165	0	175	0	8092	12694	41170	4097	24146	24746	38032	207	20124	2132	6707	709	287	56144	15097	6874	12270	615	276	80177	0	182	0	0	133	37764	26278	10328	8502	51735	44715	61087	113043	9227	3982	786	34719	48605	218714	63961	12701	24358	9987	9441	2785	22146	2294	1078	75010	61487	15638	71002	28246	18675	5459	36386	31382	10582	9443	465286	156838	68014	22644	16796	6555	5017	18162	23134	60993	21776	17847	825	155	3550	2631	43713	13308	245844	78436	271551	3794	16917	178579	8647	8525	5415	1804386	387078	675765	143559	6067	7867	119047	18486	86078	264277	108174	32181	9056	6063	5276
TAS_ENC	TAS	NC	69372	1365283	9541	233114	64049	207168	6613	31973	6162	5946	99091	16832	18478	39900	8676	54557	5637	36104	6355	2777	1024	44689	5049	54433	138304	10171	17415	14369	27770	3050	83503	387	17100	8353	79841	102795	12582	100672	27001	146643	18268	10316	0	0	0	0	12745	42965	24752	3441	64077	15681	84080	215	25440	614	528	171	0	62373	14423	13638	23152	506	206	77941	0	0	0	0	0	4113	3710	9715	28698	85841	120521	113059	121855	8539	6902	8826	30079	42115	233083	50986	11948	24899	16869	9314	2751	24905	226	59	78228	60347	15221	72297	27539	17613	6452	32159	27043	9013	8032	140221	47208	71526	19879	15007	5671	4711	17470	23187	53416	9541	17547	337	0	3423	2302	38446	9320	96109	31915	281687	4348	17646	205160	13426	10397	227	144533	70703	55079	27089	9012	12137	4662	5860	100182	1044	660	3977	1053	652	659
VOIL_ENC	VOIL	NC	97339	1266336	28371	214835	75645	52559	6608	32199	16853	4903	94832	3765	12615	1303	109	21380	3099	51764	8112	14325	2189	36674	79999	4879	102914	3091	54832	13057	6003	7526	12749	392	2393	6905	16924	9056	10413	38532	26431	126360	18687	8869	0	0	0	189	1757	2890	12603	3031	9447	5091	18798	128	23680	402	744	147	58	54384	6796	5112	14702	541	199	78765	0	0	0	0	0	10733	10555	9950	3341	20445	10042	44117	111344	6771	2823	4116	6391	18000	215157	48958	11927	22328	14560	5129	1911	17071	354	129	71972	41618	11276	67295	26629	16936	5947	28252	22938	5274	6366	76266	25650	65078	17309	12715	5274	3666	17304	21802	25086	14586	8719	305	74	2684	2059	18475	8851	55627	17950	264288	3427	5789	186293	5979	5254	110	536987	108925	197717	40575	3357	4993	36736	29824	89847	8013	3443	13794	4717	3563	2760
AlST_EC	AlST	C	166776	2513130	34022	384379	126165	282580	5425	31439	20822	4118	215460	1346	11958	928	132	12600	4034	5924	1951	7533	703	26984	1869	1212	122676	2028	83668	6592	4736	3267	12103	798	2188	6175	6547	8851	10564	16403	8767	137799	16199	8212	0	0	0	161	1215	808	6055	2753	8180	5508	11015	112	7968	5089	175	419	539	57766	7382	3429	6138	404	188	30743	0	0	0	0	79	422	573	10055	1550	6374	6617	14420	111914	8336	1823	285	5000	11321	216307	60979	11254	21061	6476	1739	779	5127	170	120	74702	12830	3567	68677	24268	16100	7017	22439	19387	6790	5775	19357	6190	66642	18957	11341	4211	3424	15721	21406	24568	8515	8061	482	79	2250	1860	18631	7231	13389	4794	282107	1788	113773	197102	4993	3190	162	1224	228	837	449	2820	4351	292	314	103133	878	483	102	92	96	111
ARK_EC	ARK	C	36056	1145689	195304	175049	119157	1020948	10603	35249	86698	34082	81633	4549	23859	5187070	1128984	253172	11952	596624	66320	7030	1233891	382529	4699960	59182	102994	5401	209829	24252	4306	385439	25546	15236	2500	13816	24345	30280	26015	54511	42054	130897	409799	23064	343	256	0	0	4254	7700	17494	6202	14198	17140	32027	220	37604	592	402472	99236	0	54547	9568	18783	102304	5780	1539	440582	0	0	337	0	0	17791	11529	47657	9755	28180	55103	46453	108929	9393	11048	612	29288	27749	206427	163154	10305	36132	13139	29642	8228	61010	462926	198180	71582	94580	14242	65042	36097	15414	6290	58470	58427	16670	16617	991034	330149	62572	22534	17784	6391	5234	15969	28602	79590	38241	24901	1251	268	2758	2098	19915	14867	181615	59268	260792	0	25587	178671	24540	25715	1598	3406719	1035160	1272405	383435	10606	7688	952889	37362	92377	1718454	700221	11797	3498	1582	1762
AVIA_EC	AVIA	C	99508	300068	14571	49860	20091	13521	6643	30935	9150	4718	18455	66518	12692	1749	0	12071	4681	4686	1905	5788	1472	13674	2435	29566	99572	2690	37052	19319	8420	3111	13591	18332	2342	7139	12975	8505	12409	41395	41526	127934	17295	10963	219	0	50	162	1525	2422	15805	2852	20040	6227	15462	187	19513	3463	693	154	526	55604	10532	13807	22305	53138	21351	70834	0	0	0	0	0	6888	9793	9471	3420	15547	10263	52485	112750	9072	2597	4197	4350	17382	218093	50847	11937	23013	0	9737	2984	24382	663	115	75130	62955	16795	70562	26945	17289	6597	26532	23349	7894	6836	10894	3515	68736	16473	11786	5203	3907	17832	22509	29719	8930	9426	0	314	2881	1940	21198	7781	6660	2308	272164	4941	7461	197191	15628	11066	255	25623	11612	9865	4488	13655	14666	987	603	97916	1251	617	215	175	0	35
BIG_EC	BIG	C	281545	356285	18911	62602	18396	14372	5589	31670	12419	4346	24049	983	12339	885	213	29416	5293	36162	3714	28458	1864	19660	2487	3350	90767	2545	42096	12653	6157	2940	11196	844	2287	5825	15310	21509	11452	34622	17710	137415	16608	9092	0	0	217	164	2928	3671	12312	2526	14085	8519	14791	123	16568	1094	645	74	79	58630	8175	7144	12330	1334	435	38626	0	0	0	0	198	3678	4688	10783	3700	15616	24155	38234	122710	9039	3064	2322	14392	16021	228679	58759	14544	26008	7070	3491	895	7489	487	159	77849	18816	5041	74180	31620	20565	6855	23485	20635	6351	5881	48110	15569	73162	17551	11720	4591	3641	19950	25266	25768	4259	7746	272	96	2225	1763	18525	7478	35721	11573	295830	2071	899	195681	6813	4781	426	57641	26520	20649	10275	3394	4978	2599	1225	92821	1331	777	75	121	26	109
BIL_EC	BIL	C	57968	244440	9925	40773	16672	118238	9798	35695	7112	173879	15905	3793	95259	2277	283	69596	6167	196590	65563	21250	1277	88532	3189	31817	116584	8263	12672	88041	14374	1975	19588	13739	5050	150374	40475	28251	284864	72759	296213	142165	44143	23379	0	554	0	0	10529	16884	59641	52292	33098	30475	46646	109	140039	289	918	199	0	61091	19177	144998	162014	34154	7653	405660	0	0	0	0	0	65094	51614	12610	8243	47654	30583	56617	118177	7700	6524	17	29545	43079	225571	43553	11438	23042	26545	22006	6117	35379	583	173	74656	87221	20585	68844	27377	17202	74655	622823	502717	185860	150161	1104423	364289	68457	229788	169634	68070	29705	17955	22937	472478	277988	151138	3159	1163	28910	13275	194685	114046	288979	93572	273549	10219	24537	199067	22896	20773	546992	1299	728	1450	781	7955	6858	3030	655	96891	139878	56651	223930	152179	97519	58528
BONN_EC	BONN	C	108032	736435	24917	119039	46405	14842	5301	32033	14872	4672	50584	2039	15537	1355	140	29186	2631	20182	4376	6641	1276	7852	2584	13527	75738	1681	53639	14912	6481	6573	11686	1177	2366	8319	7291	6065	12071	18578	14804	108823	16033	8038	0	233	0	115	1601	1084	11088	3251	12321	5984	10485	170	12859	4218	844	169	553	46465	6124	4358	9225	669	492	23035	181	0	0	0	135	34226	40709	11748	2175	7300	5343	17067	99339	9526	2512	436	3077	11181	191965	59611	11323	21497	3131	0	251	0	382	113	67053	2136	1697	60832	25341	17495	6271	32412	26479	9979	7370	55547	17754	57425	18963	14570	5564	4183	17502	21814	40843	14625	12987	358	125	1735	1992	28812	10889	34478	7470	238765	509	27564	161858	1294	911	1039	23032	8868	8639	3160	759	1282	1431	752	76465	29598	8520	346	184	96	152
COR_EC	COR	C	38837	2441731	13652	369094	115452	13120	9995	31334	8638	4225	208227	1209	12500	1152	106	11290	13691	5247	1540	2774	898	34271	1870	845	117771	2967	32670	8083	5618	2470	12075	561	2327	7719	9793	7773	12230	40040	17212	140491	15813	25280	0	0	58	0	1444	1737	7328	3037	9423	6352	13158	71	13128	319	458	276	0	61047	8515	6866	19732	492	243	85843	140	0	0	55	81	265	49	9753	3155	10968	10546	43726	121923	9718	1913	17610	3454	19331	234723	46109	11738	24232	10825	36664	9927	62361	193	144	79697	128229	35224	75825	29073	17109	7458	29468	22954	8796	7233	3667	1227	74377	18396	13697	5321	4106	17218	23456	25673	5954	8112	667	421	1857	2331	19837	7668	2333	568	290268	16796	1051	216198	38099	34133	156	5090	1823	2762	1074	29010	26630	375	166	115162	614	291	500	242	148	11
DEC_EC	DEC	C	64278	302614	30965	52024	15172	60362	5796	30216	18286	4000	19797	1050	18920	1340	97	31740	3114	21686	3491	19197	478	16736	2389	6643	83568	3031	78960	41152	9127	5251	13003	4317	2680	14545	9411	5379	20164	15886	23747	111776	16399	9403	0	0	0	0	1416	967	30145	5697	20553	6809	13710	73	14137	85	237	122	78	48640	6376	5357	9759	9543	1882	28080	153	0	0	103	0	95175	105859	11030	2172	9977	4859	14264	101609	8524	2474	1025	3440	13902	195148	58383	11300	24218	4598	3567	1229	8232	111	93	66840	18067	5127	62780	26959	16927	9397	60259	48212	17830	14122	230462	76144	62395	34547	27083	10534	7774	16868	22625	64798	29396	20953	490	173	4974	3840	42242	18160	126949	38613	238552	1597	92790	163438	5293	4078	486	245730	117818	91949	44696	2721	3275	10514	3611	77551	148730	59540	3652	3051	2530	1756
EDF_EC	EDF	C	86552	2597343	24622	363202	183141	27042	5433	31175	15181	4115	228534	1216	8443	1060	0	11039	3202	10226	4597	8773	523	31292	1676	2431	114675	2431	56740	8343	5147	2466	11742	474	2087	4265	6474	4471	10686	17301	11520	136830	17150	7962	0	0	61	70	1753	2873	7239	2224	7608	5442	10518	106	10103	3952	135	94	463	58884	8478	3911	6477	437	230	21811	173	94	0	0	99	1159	1186	9023	1909	3878	5299	22312	114569	9103	1753	205	2989	13556	222868	39513	11369	21429	13053	0	818	4224	122	65	76435	15586	3939	70579	26387	16488	6270	21246	18688	6650	5403	7247	2796	68713	13630	8328	4187	3105	15716	21860	16687	9742	6951	96	318	2524	1923	11796	6723	5141	2116	282567	1241	1377	204543	3279	2626	253	4089	671	2237	939	2240	3262	321	221	101912	442	202	164	122	146	117
ESP_EC	ESP	C	133617	1344582	11209	222345	49496	10770	5248	31033	7411	4092	96311	82710	8879	1408	373	14560	2528	5310	1847	6396	1361	8030	2510	11215	86097	2724	28283	10696	4995	4126	11456	540	2128	4938	5906	4099	10424	11936	10538	123666	16291	7915	0	0	258	0	1711	1138	9467	2222	7062	4704	10251	144	9443	17669	1047	113	3556	52675	6770	4975	6500	694	258	17336	0	231	0	0	1335149	940	856	11177	1530	8455	5458	13903	115002	9215	1802	0	4585	11426	220584	65195	12095	24856	1334	0	315	0	773	264	74326	0	0	71636	27963	18633	4242	22058	18145	6010	5283	2976	1497	68940	12484	10687	3732	3254	17840	24142	17383	9055	5575	123	240	2348	1493	13011	4946	2006	219	261980	148	2094	184375	0	676	1511	1756	884	1493	810	160	117	337	395	87275	1482	993	91	107	83	46
FOR_EC	FOR	C	30566	281094	11118	44695	14426	8564	5641	29776	7404	4844	17409	1315892	86466	1248	232	14242	4294	7192	2135	5023	3475	18470	2545	2700	89942	3413	22859	8875	5651	4824	14749	702	2511	11407	9622	7892	23079	28699	19578	119261	16799	11115	0	0	0	124	914	850	6705	4364	10433	7647	14422	79	16730	2123	1995	255	0	49583	10093	8201	19008	815	552	39986	0	0	0	0	133	2182	2636	9623	2268	11242	5149	33482	108219	9933	2936	13040	4372	14743	202431	57353	12015	24911	6707	5470	1654	10426	653	265	70669	29640	7259	64271	28105	17274	13044	47105	51841	13725	15288	38922	13273	64401	26850	27046	7895	7821	16305	22482	488301	99743	156063	518	48	4254	3504	253036	46862	23891	7829	249901	2249	15883	177136	7055	5694	143	72416	41084	28239	15220	3885	5844	2307	808	88288	3698	1696	91	43	139	258
