Group		Cluster16S_1	Cluster16S_5	Cluster16S_21	Cluster16S_30	Cluster16S_39	Cluster16S_26	Cluster16S_13	Cluster16S_17	Cluster16S_9	Cluster16S_62	Cluster16S_50	Cluster16S_31	Cluster16S_3	Cluster16S_15	Cluster16S_86	Cluster16S_14	Cluster16S_72	Cluster16S_2	Cluster16S_93	Cluster16S_7	Cluster16S_142	Cluster16S_51	Cluster16S_10	Cluster16S_12	Cluster16S_108	Cluster16S_4	Cluster16S_84	Cluster16S_8	Cluster16S_77	Cluster16S_202	Cluster16S_27	Cluster16S_16	Cluster16S_182	Cluster16S_144	Cluster16S_23	Cluster16S_6	Cluster16S_52	Cluster16S_106	Cluster16S_172
PER_Lm	0,002018388	0	72	0	1	0	0	8	0	10	0	0	0	19	71	0	5	1	1909	3	202	0	0	0	1	0	2	0	4	1	0	63	1	1	0	0	0	0	0	1
EDF_Lm	0,381940313	2	2	1	3	0	0	224	7	39	0	0	0	0	2	0	154	0	1	9	203	0	0	0	316	0	7	0	34	0	0	13	7	0	0	5	3	0	4	0
JUST_Lm	0,429189413	2024	0	0	9	0	0	1	2	0	0	0	0	1	0	0	1	1	0	0	372	0	0	0	0	0	35	0	235	0	0	0	0	0	0	1	0	0	0	0
RECU_Lm	0,585438686	2	3	0	1	0	0	30	0	13	0	0	2	0	5	0	18	6	73	24	99	0	0	0	2	0	5	0	56	38	0	41	0	0	0	1	6	0	5	0
FRA_Lm	1,248915756	6	21	98	5	0	0	10	1	155	0	0	2	1	12	8	4	0	0	2	0	0	0	0	1	0	19	0	22	0	0	11	0	0	0	836	2	0	0	0
SYT_Lm	1,295052261	4	0	0	21	0	0	21	148	1	0	0	0	0	0	0	14	2	2	0	0	0	0	0	1279	0	1	0	1	0	0	6	32	0	0	1	1	0	0	0
TAS_Lm	1,549688981	226	329	2	6	0	0	16	76	118	0	0	0	58	29	2	12	0	3	0	115	0	0	0	12	0	0	0	128	0	0	169	0	0	0	7	5	1	0	0
ALST_Lm	1,753700788	4	1	21	3	1	0	230	8	4	0	0	0	1	137	2	166	1	7	2	23	0	0	0	69	0	205	1	0	0	0	17	0	1	0	7	1	0	0	0
COR_Lm	2,077645476	21	1	0	24	0	0	3	0	3	0	0	0	0	32	1	2	0	0	6	13	3	0	0	0	0	324	0	135	0	0	0	0	0	0	19	1195	0	0	0
GAR_Lm	2,22744923	1139	1	0	16	0	0	11	0	1	0	0	0	1	2	0	8	0	9	0	342	0	0	0	0	0	69	0	156	1	0	3	0	1	0	0	0	0	0	2
MOU_Lm	2,653271017	0	1326	0	2	0	0	7	1	1	0	0	0	453	0	0	4	0	3	1	76	0	0	1037	6	0	77	0	106	0	0	0	0	0	0	0	0	0	0	0
ARK_Lm	9,345034721	2	5	0	1	0	0	478	0	4	0	0	0	187	2	0	228	3	2	1	461	0	0	3	6	0	1	0	7	6	0	13	2	0	0	1	4	1	0	0
