Group	Colonisation	Id_GARDEN	MATERIAL	COLOR	PC1	Var_indus	Var_agri	Var_atmo	F	Cl	NO2	Br	NO3	PO43	SO43	Na	NH4	K	Mg2	Ca2	O2	N2	CH4	CO2	N2O	C orga	T°C	PPT	pH	Redox
FRA_NC	NC	119	plastique	bleu	-1,305305786	0,001270303	47,86265856	0,00094252	0,24	42,46	0,00	1,86	0,02	0,64	22,82	26,91	0,40	14,85	8,46	38,82	1,58	7,44	15,90	4674,80	0,37	39,45	17,70	0,00	6,98	245,00
GAR_EC	EC	102	plastique	bleu	-0,070453139	0,000452735	1143,843364	0,011023804	0,05	29,23	0,05	0,04	3,60	0,79	28,99	5,51	0,12	8,26	4,33	72,61	1,78	4,51	0,25	6583,94	0,82	29,63	18,45	0,30	7,97	160,00
GAR_NC	NC	102	plastique	bleu	-0,070453139	0,000452735	1143,843364	0,011023804	0,03	0,73	0,03	0,03	1,83	1,61	2,38	1,26	0,24	6,10	1,16	10,42	2,85	6,43	0,22	1947,26	0,64	12,58	17,70	0,00	7,98	206,00
JUST_EC	EC	126	plastique	bleu	0,476002305	0,000333392	5,272285385	0,058705544	0,05	4,21	0,06	0,02	12,04	3,41	12,95	6,86	0,00	16,66	2,37	32,71	1,91	4,68	0,12	3391,08	0,59	17,40	20,83	0,10	7,67	260,00
JUST_NC	NC	126	plastique	bleu	0,476002305	0,000333392	5,272285385	0,058705544	0,09	1,23	0,05	0,40	0,79	0,30	2,82	1,55	0,93	4,38	0,62	16,65	2,09	4,57	11,23	2212,85	4,79	9,09	20,23	0,10	7,59	70,00
MID_EC	EC	43	plastique	bleu	-0,382994013	0,000857235	4993,227687	0,043692348	0,02	0,25	0,01	0,05	0,64	0,06	1,24	0,74	0,08	0,32	0,20	5,63	2,46	5,55	0,24	1694,02	0,74	3,00	20,43	0,00	7,28	284,00
MID_NC	NC	43	plastique	noir	-0,382994013	0,000857235	4993,227687	0,043692348	0,05	20,30	0,08	0,00	6,52	0,09	26,50	13,62	0,16	5,72	11,55	71,50	1,60	4,01	0,18	12075,54	1,60	5,50	19,20	0,40	7,04	271,00
MOU_EC	EC	77	plastique	bleu	-0,203176148	0,000546684	385,7045504	0,011023394	0,07	62,57	0,00	0,00	3,32	0,07	65,65	29,40	0,00	1,82	8,23	75,23	2,24	4,96	0,02	4190,09	0,06	7,84	23,68	0,30	7,79	237,00
MOU_NC	NC	77	plastique	gris	-0,203176148	0,000546684	385,7045504	0,011023394	0,01	0,22	0,01	0,04	0,03	0,00	0,76	0,31	0,00	0,27	0,12	5,61	2,28	5,20	0,11	33,86	0,55	3,98	23,02	0,00	6,41	214,00
PER_EC	EC	81	plastique	bleu	0,236542646	0,000290568	228,2787425	0,020854616	0,07	0,59	0,07	0,02	0,12	0,45	0,92	1,08	0,09	2,49	0,83	19,95	2,34	5,71	1,48	4109,99	0,70	22,06	21,50	0,10	7,26	71,00
PER_NC	NC	81	plastique	bleu	0,236542646	0,000290568	228,2787425	0,020854616	0,04	2,04	0,05	0,00	0,56	0,52	2,90	1,37	0,03	3,01	0,68	18,66	2,12	4,80	0,18	1978,87	0,00	22,82	21,80	0,10	7,64	257,00
QUA_EC	EC	199	plastique	bleu	-1,90358324	0,001695099	584,8754854	0,001172623	0,02	0,37	0,02	0,01	0,82	1,15	0,98	0,42	0,18	5,14	0,35	2,65	2,12	4,76	0,30	2264,26	0,48	11,97	21,86	0,00	7,17	254,00
QUA_NC	NC	199	plastique	blanc	-1,90358324	0,001695099	584,8754854	0,001172623	0,18	12,09	0,03	0,00	0,02	0,06	33,61	8,72	0,00	2,93	6,59	24,46	1,97	4,65	0,17	417,37	0,28	14,52	24,93	0,10	7,44	192,00
REB_EC	EC	90	plastique	bleu	1,481093323	0,000503507	191,3415934	0,21586133	0,02	0,41	0,01	0,01	0,70	0,24	0,63	0,68	0,00	0,24	0,11	1,89	2,11	4,37	0,04	731,88	0,01	2,14	21,21	0,00	5,72	328,00
REB_NC	NC	90	plastique	bleu	1,481093323	0,000503507	191,3415934	0,21586133	0,07	4,21	0,05	0,01	2,78	0,52	11,18	3,28	0,02	1,94	2,08	25,12	2,19	4,61	0,23	1358,77	0,01	5,12	20,72	0,10	6,38	288,00
RECU_EC	EC	87	plastique	bleu	1,726397323	0,000217478	1364,581811	0,195827212	0,06	13,21	0,07	0,00	0,45	0,13	9,26	9,80	0,00	3,01	8,44	34,69	2,07	4,88	0,50	3726,21	0,48	21,39	19,91	0,20	6,12	277,00
RECU_NC	NC	87	plastique	blanc	1,726397323	0,000217478	1364,581811	0,195827212	0,11	11,41	0,07	0,00	0,10	0,00	16,36	9,72	0,15	2,08	7,41	38,73	2,20	5,15	1,24	3593,56	0,24	28,09	17,01	0,20	6,58	254,00
SYT_EC	EC	146	métal	gris	0,192507126	0,000506585	112,7304197	0,053805706	0,07	19,25	0,03	0,02	1,73	0,00	29,70	13,30	0,00	6,20	4,03	37,31	2,11	4,81	0,18	977,73	3,01	15,12	23,24	0,20	7,63	207,00
SYT_NC	NC	146	métal	gris	0,192507126	0,000506585	112,7304197	0,053805706	0,10	7,33	0,02	0,01	0,02	0,00	8,83	5,54	1,70	4,13	4,26	29,31	0,69	4,67	69,23	12225,67	2,76	16,50	24,94	0,10	7,46	-158,00
TAS_EC	EC	124	plastique	blanc	-1,249653247	0,001246827	923,4357924	0,003780363	0,06	10,81	0,04	0,52	0,50	0,00	30,44	8,80	0,91	3,31	6,36	34,97	1,95	4,40	0,21	2757,52	0,77	24,15	16,21	0,20	7,78	256,00
TAS_NC	NC	124	plastique	noir	-1,249653247	0,001246827	923,4357924	0,003780363	0,06	3,15	0,08	0,21	0,33	0,00	9,36	3,43	0,43	1,02	2,13	23,81	1,95	5,56	0,36	2383,38	1,51	20,04	14,82	0,10	8,17	228,00
VOIL_EC	EC	310	plastique	blanc	2,245234642	0,000437064	559,9475498	0,300442499	0,04	1,42	0,02	0,01	0,07	0,33	1,16	2,29	0,11	0,86	0,34	5,27	1,91	4,66	0,50	1270,64	0,01	14,10	25,97	0,00	8,76	199,00
